Name,URL,Price,Rating,Reviews,Description,ASIN,Details,Manufacturer
"RASHKI Aero Overnighter Backpack 15.6"" Inch Laptop Travel Backpack for men and women with rain dust cover, USB Port (36 litres black vegan leather)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ2Mzk1NDM2NjE5ODY0OjE2ODUyMDQ1NTk6c3BfYXRmOjIwMTU5NzI5MjM4Mzk4OjowOjo&url=%2FRASHKI-Overnighter-Backpack-Laptop-leather%2Fdp%2FB0BW8T473B%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685204559%26sprefix%3Dba%252Caps%25252%2BC283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹2,490",5.0 out of 5 stars,13 ratings,Closure: Zipper    Women Backpack    Women premium Backpack    Women Laptop bag    Unisex Work Backpack    Men Laptop Backpack,B0BW8T473B,"Product Dimensions: 54 x 37 x 18 cm; 2 Kilograms
Date First Available: 20 February 2023
ASIN: B0BW8T473B
Item model number: SCARLET0521MTBR
Country of Origin: India
Department: unisex-adult
Item Weight: 2 kg
Item Dimensions LxWxH: 54 x 37 x 18 Centimeters
Generic Name: Backpack
",Not found
Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ2Mzk1NDM2NjE5ODY0OjE2ODUyMDQ1NTk6c3BfYXRmOjIwMTE2ODc5MTczOTk4OjowOjo&url=%2FRed-Lemon-Ironlook-Briefcase-Anti-Theft%2Fdp%2FB09ZYQJHXR%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685204559%26sprefix%3Dba%252Caps%25252%2BC283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹4,990",4.4 out of 5 stars,80 ratings,"? PREMIUM MATERIAL: Made from high quality, waterproof hard EVA material. Premium quality smooth zippers, pullers, buckles.;Special Features: Locking; Style Name: Modern<br>    ? ORGANISED DESIGN: This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ Ipad. Spacious enough to hold your clothings, folders, documents etc. Also includes organised pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.<br>    ? ANTI- THEFT DESIGN & CAPACITY: One hidden zipper pocket equips on the back to pack your money, cards, wallet. This invisible design increases the security of your belongings. Dimensions: 30 cms x 8 cms x 45 cms (LxWxH). Capacity: 11 Lit<br>    ? USB FEATURE & TSA LOCK : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices. This backpack comes with a built-in TSA lock that gives the bag an added level of security. Helps deter thefts during travel.; ? TROLLEY STRAP : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling.; Age Range Description: Adult; Pattern Name: Solid; Theme: Sports<br>    Impact-resistant design. ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.<br>",B09ZYQJHXR,"Product Dimensions: 30 x 17 x 48 cm; 1.63 Kilograms
Date First Available: 10 May 2022
Manufacturer: Encon Impex Pvt Ltd
ASIN: B09ZYQJHXR
Item model number: BG-22201
Country of Origin: China
Department: Unisex-adult
Manufacturer: Encon Impex Pvt Ltd
Item Weight: 1 kg 630 g
Item Dimensions LxWxH: 30 x 17 x 48 Centimeters
",Encon Impex Pvt Ltd
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685204559&sprefix=ba%2Caps%252+C283&sr=8-3,₹598.00,4.3 out of 5 stars,"10,969 ratings","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.",Not found,,Not found
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685204559&sprefix=ba%2Caps%252+C283&sr=8-4,"₹1,199.00",4.0 out of 5 stars,"54,253 ratings","Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant , not Waterproof    Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters    Number of Wheels: 0, Number of compartments: 3    Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of    Mesh pockets on both sides to accommodate your sipper or bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support",Not found,,Not found
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1685204559&sprefix=ba%2Caps%252+C283&sr=8-5,₹630.00,4.1 out of 5 stars,"4,570 ratings","Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,    Water Resistance Level: Not Water Resistant    Size: 35 x 13 x 46 cms",B08Z1HHHTD,"Product Dimensions: 10.01 x 19.99 x 11.99 cm; 390 Grams
Date First Available: 15 March 2021
Manufacturer: VIP Industries Ltd
ASIN: B08Z1HHHTD
Manufacturer: VIP Industries Ltd
Item Weight: 390 g
Item Dimensions LxWxH: 10 x 20 x 12 Centimeters
",VIP Industries Ltd
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1685204559&sprefix=ba%2Caps%252+C283&sr=8-6,₹599,3.8 out of 5 stars,"2,045 ratings","Ease of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.    Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.    Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included )    Care Instructions: Wipe with Dry Cloth    Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.",B09QJ7ZF2Y,"Product Dimensions: 5 x 13 x 17 cm; 680 Grams
Date First Available: 15 January 2022
ASIN: B09QJ7ZF2Y
Item model number: LEGEND-1
Country of Origin: India
Department: Unisex-adult
Item Weight: 680 g
Item Dimensions LxWxH: 50 x 130 x 170 Millimeters
",Not found
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1685204559&sprefix=ba%2Caps%252+C283&sr=8-7,₹529.00,3.9 out of 5 stars,"15,945 ratings","SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.    SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.    OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",B085MHDJ93,"Product Dimensions: 21 x 33 x 48 cm; 600 Grams
Date First Available: 28 February 2020
Manufacturer: Amazing Bags
ASIN: B085MHDJ93
Item model number: bag for men
Country of Origin: India
Department: Unisex Adult and Child
Manufacturer: Amazing Bags, Half_Moon, New Delhi
Item Weight: 600 g
Item Dimensions LxWxH: 21 x 33 x 48 Centimeters
Generic Name: laptop bag
","Amazing Bags, Half_Moon, New Delhi"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1685204559&sprefix=ba%2Caps%252+C283&sr=8-8,₹698.00,4.1 out of 5 stars,"1,282 ratings","Spacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessories    CAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problem    FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: Adult    COMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.    12 Months Limited Brand Warranty",B098QFF5TJ,"Product Dimensions: 36.8 x 22.9 x 50.8 cm; 900 Grams
Date First Available: 6 July 2021
Manufacturer: Wesley
ASIN: B098QFF5TJ
Item model number: Spartan Hiking
Country of Origin: India
Department: Unisex-adult
Manufacturer: Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507
Packer: Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507
Item Weight: 900 g
Item Dimensions LxWxH: 36.8 x 22.9 x 50.8 Centimeters
Included Components: Backpack, Raincover
Generic Name: LAPTOP BACKPACK
","Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1685204559&sprefix=ba%2Caps%252+C283&sr=8-9,₹499.00,3.9 out of 5 stars,812 ratings,Material: Water Resistant Light-Weight Polyester<br>    Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>    Closure Type: Zipper<br>,B09TPX22NF,"Product Dimensions: 32 x 20 x 47 cm; 530 Grams
Date First Available: 1 March 2022
Manufacturer: ADISA
ASIN: B09TPX22NF
Item model number: BP041
Country of Origin: India
Department: Men
Manufacturer: ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com
Packer: ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com
Item Weight: 530 g
Item Dimensions LxWxH: 32 x 20 x 47 Centimeters
Net Quantity: 1.00 count
Included Components: Laptop backpack only
Generic Name: Laptop backpack
","ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1685204559&sprefix=ba%2Caps%252+C283&sr=8-10,₹749,3.9 out of 5 stars,"2,778 ratings","This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.    Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.    Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.    Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.    FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc",B0BJ32LQ6X,"Product Dimensions: 22 x 30 x 50 cm; 660 Grams
Date First Available: 13 October 2022
Manufacturer: Amazing Bags
ASIN: B0BJ32LQ6X
Item model number: laptop bag
Country of Origin: India
Department: unisex-adult
Manufacturer: Amazing Bags
Item Weight: 660 g
Item Dimensions LxWxH: 22 x 30 x 50 Centimeters
Generic Name: bag
",Amazing Bags
Gadget Wagon Cable Management Tray Organizer Under Desk for Office and Home No Drill,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ2Mzk1NDM2NjE5ODY0OjE2ODUyMDQ1NTk6c3BfbXRmOjIwMTU1MjU4OTE0Mjk4OjowOjo&url=%2FGadget-Wagon-Management-Organizer-Desk%2Fdp%2FB0BSL7JB5F%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685204559%26sprefix%3Dba%252Caps%25252%2BC283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹1,990.00",Previous page,,"Save space Store your accessories under the desk easily Load Capacity: 5kgs(11lbs)    No need to drill holes , easy clamp on grommet design to use on any table    Make your workstation need and clutter free and improve your productivity    Avoid clutter, easy to fir product, remove and shift anywhere    Cable Organizer, Cable Management store spike buster, surge protector , accessories, peripherals",Not found,,Not found
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ2Mzk1NDM2NjE5ODY0OjE2ODUyMDQ1NTk6c3BfbXRmOjIwMDM0Mzk5OTYwNDk4OjowOjo&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685204559%26sprefix%3Dba%252Caps%25252%2BC283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,₹529.00,3.9 out of 5 stars,"15,945 ratings","SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.    SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.    OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",B085MHDJ93,"Product Dimensions: 21 x 33 x 48 cm; 600 Grams
Date First Available: 28 February 2020
Manufacturer: Amazing Bags
ASIN: B085MHDJ93
Item model number: bag for men
Country of Origin: India
Department: Unisex Adult and Child
Manufacturer: Amazing Bags, Half_Moon, New Delhi
Item Weight: 600 g
Item Dimensions LxWxH: 21 x 33 x 48 Centimeters
Generic Name: laptop bag
","Amazing Bags, Half_Moon, New Delhi"
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1685204559&sprefix=ba%2Caps%252+C283&sr=8-13,"₹1,299",4.3 out of 5 stars,201 ratings,"Care Instructions: Hand Wash Only    Well Organized compartment ,Security Back Pocket",B0BTD4S4XF,"Product Dimensions: 20 x 32.5 x 47.5 cm; 510 Grams
Date First Available: 30 January 2023
Manufacturer: EXPERTS
ASIN: B0BTD4S4XF
Item model number: LT9 (0) 09 002
Country of Origin: China
Department: mens
Manufacturer: EXPERTS, China
Packer: China
Importer: Importer Name ltd., Street No. 24/4, New Delhi, India - 110011, Contact: +91-111-000-2400, service@importer.com
Item Weight: 510 g
Item Dimensions LxWxH: 20 x 32.5 x 47.5 Centimeters
Generic Name: BACKPACK
","EXPERTS, China"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1685204559&sprefix=ba%2Caps%252+C283&sr=8-14,₹699.00,4.0 out of 5 stars,"4,053 ratings",Care Instructions: Wipe with Damp Cloth    Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>    USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>    Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>    Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>    Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>,B09VTDMRY7,"Product Dimensions: 30 x 18 x 42 cm; 700 Grams
Date First Available: 17 March 2022
Manufacturer: FUR JADEN
ASIN: B09VTDMRY7
Item model number: BM83
Country of Origin: India
Department: unisex-adult
Manufacturer: FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002
Packer: Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002
Item Weight: 700 g
Item Dimensions LxWxH: 30 x 18 x 42 Centimeters
Net Quantity: 1.00 Unit
Generic Name: Anti Theft Laptop Backpack
","FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
