Helpful Votes,Review Body,Review Year,Review Headline,Star Rating
0.0,"The first two books of the series were simply awesome, but this one left me wanting more. Obviously if you read Divergent you wil have to read Allegiant to know what happens to Tris and Tobias, and the ending is very suprising, and on my opinion it was perfect for this story, but there is not much action, kind of monotone. Still, READ IT!",11/19/2013 0:00,"Must read, but not for all the right reasons",3.0
6.0,"&quot;The Bonesetter's Daughter&quot; is a story rich with a strong, maternal love that I will cherish forever. The spiritual therapy I received from this book with regards to my own mother was absolutely priceless. I often cried and laughed at some of the remarkable similarities of Tan's characters to my own mother and myself. I feel very happy and fortunate for having the oppurtunity to read this beautiful novel.As for the Asian American, Amazon.com reviewers who find Tan's writing too &quot;stereotypical&quot; to Asians, most of these criticisms are usually unjustified banter. I've got four words for those people, &quot;Show me the proof!&quot;. If Tan's writing seems offensive, boring, or predictable to disgruntled reviewers such as &quot;Native Chinese Reader&quot; or &quot;Asian Guy From New York&quot;, they can quit their whining and try reading works by the numerous other famous Asian American literature authors available at Amazon such as: Maxine Hong Kingston (&quot;The Woman Warrior&quot; &amp; &quot;China Men&quot;), Helie Lee (&quot;Still Life With Rice&quot;), Wakako Yamauchi (&quot;Songs My Mother Taught Me&quot;), Chung Rae Lee, etc.",04/17/2001 0:00,"A sincere portayal of strong, maternal love.",5.0
0.0,Received on time and as described. Will use again.,08/30/2015 0:00,Five Stars,5.0
0.0,my nephew loved it.,08/27/2015 0:00,Five Stars,5.0
3.0,"I didn't enjoy this one as much as The Other Boleyn Girl, but if you like historical fiction this is a great read!",01/12/2006 0:00,Another hit!,4.0
0.0,"Wow! This is an awesome series!<br /><br />Lisa Harris takes her readers on an adventure they won’t soon forget.<br /><br />From the first page, the excitement — and danger — continues to the end. Just when you think Michael is safe again, the sound of gunshot fills the air again. Will he survive? You won’t know until you read the book — and I whole-heartily recommend you read it — and the others in this amazing series.",08/28/2015 0:00,Lisa Harris’s SOUTHERN CRIMES series is thrilling from beginning to end…,4.0
9.0,"Perhaps the main reason for the success of this book is that it implicitly realises that the mystery of the princes in the tower will in all probability never be solved.This means that the author avoids some of the overarching assumptions made by many contributors to the debate, who claim to have found a solution.Fields has clearly recognised the dangers here, and is devastating in his attacks on the astonishingly sloppy piece of work by Alison Weir.He has split his survey of the case into a logical structure and his writing style enables him to cover intricate and complicated arguments without the reading experience becoming over-taxing.Of course for a full overview of the arguments in this case other books should also be read, notably A.J. Pollard, Audrey Williamson, Derek Seward, Charles Ross and Paul Murray Kendall. For a fictional view, The Daughter of Time by Josephine Tey and The Sunnne in Splendour by Sharon Penman are also quite fun.Overall, a thoroughly worthwhile read if you are at all interested in this subject.",04/13/2001 0:00,An entertaining addition to the debate.,3.0
0.0,"I enjoyed this book immensely. Martin has a very descriptive way of writing, which is both a gift and a curse. I love losing myself in the pages, it is easy to do. However, there are just waaay too many characters. I care for the core characters from the first book and not necessarily the minutiae of every scribe/knight/family member of said core. I will read the next book, then reread all of them, as I am hooked.",05/19/2013 0:00,Very good read,3.0
0.0,Thoroughly enjoyable and entertaining read with so many people and places that I can identify with.,08/31/2015 0:00,Highly recommended,5.0
2.0,I found the rambling tale and the terrible devastating descriptions just too much.  I decided to abandon the read about half way through.  This was just not my cup of tea.,06/20/2013 0:00,The Last Report was not finished by me.,1.0
